# format is: (number of hits / (good prefetch + bad prefetch)), max utilization of cache
# threshold - how long an element will remain in the lookup table or cache before removal


# 10% of the trace, cache size is 5% of total layer size for the 10% of the trace 
## lookup table threshold: 10 minutes ; cache threshold: 24 hours
80.1723935197,186697643051

# 10% of the trace, cache size is 10% of total layer size for the 10% of the trace 
## lookup table threshold: 10 minutes ; cache threshold: 24 hours
59.2590352393,373395320486

# 10% of the trace, cache size is 15% of total layer size for the 10% of the trace 
## lookup table threshold: 10 minutes ; cache threshold: 24 hours
46.5677222537,560092966963

# 10% of the trace, cache size is 20% of total layer size for the 10% of the trace 
## lookup table threshold: 10 minutes ; cache threshold: 24 hours
41.8667777858,676097417329

# 10% of the trace, cache size is 30% of total layer size for the 10% of the trace 
## lookup table threshold: 10 minutes ; cache threshold: 24 hours
41.8667777858,676097417329


# 25% of the trace, cache size is 5% of total layer size for the 25% of the trace 
## lookup table threshold: 10 minutes ; cache threshold: 24 hours
162.602086733,246601453983

# 25% of the trace, cache size is 15% of total layer size for the 25% of the trace 
## lookup table threshold: 10 minutes ; cache threshold: 24 hours
103.307746537,739804358760
116.180514109,493202910596
87.0321187764,986405813046
75.8953242364,1258611978643
120.894382022,3872828232
95.053593179,7745634520
80.2438016529,11618467132
68.2332613391,15491246384
123.939516129,3872828958
89.1442857143,7745656147
76.4210069444,11618481366
64.2699798522,15491297817
53.5346835443,23236926471
202.838340486,7933237341
109.286262471,15866414273
84.519165247,23799615061
91.4567185802,31732916724
62.9864422627,47599425717
293.243166824,16304562969
213.455462669,32609123247
168.89613619,48913695169
163.083018248,65218256782
134.031384683,97827391650
14.1518987342,187357034
14.1518987342,187357034
14.1518987342,187357034
14.1518987342,187357034
14.1518987342,187357034
49.2735042735,314860120
49.2735042735,314860120
49.2735042735,314860120
49.2735042735,314860120
49.2735042735,314860120
111.515384615,334432940
111.515384615,334432940
111.515384615,334432940
111.515384615,334432940
111.515384615,334432940
130.236024845,371634988
130.236024845,371634988
130.236024845,371634988
130.236024845,371634988
130.236024845,371634988
14.1518987342,187357034
14.1518987342,187357034
14.1518987342,187357034
14.1518987342,187357034
14.1518987342,187357034
49.2735042735,314860120
49.2735042735,314860120
49.2735042735,314860120
49.2735042735,314860120
49.2735042735,314860120
111.515384615,334432940
111.515384615,334432940
111.515384615,334432940
111.515384615,334432940
111.515384615,334432940
130.236024845,371634988
130.236024845,371634988
130.236024845,371634988
130.236024845,371634988
130.236024845,371634988
